date,symbol,target_weight,price
2026-09-13,ZECUSDT,0.03147,1099.27
2026-09-13,SOLUSDT,0.007867,101.29
2026-09-13,龙虾USDT,0.03147,0.1442
2026-09-13,FILUSDT,-0.007867,0.9884
2026-09-13,SKHYNIXUSDT,-0.007867,1290.12
2026-09-13,XAUUSDT,-0.023602,4343.07
2026-09-13,SOXLUSDT,-0.015735,117.41
2026-09-13,CLUSDT,0.015735,97.32
2026-09-13,BNBUSDT,0.007867,722.43
2026-09-13,MUUSDT,-0.007867,940.34
2026-09-13,SUIUSDT,-0.023602,0.7196
2026-09-13,NEARUSDT,0.023602,2.342
2026-09-13,1000PEPEUSDT,-0.015735,0.0034189
2026-09-13,UNIUSDT,0.03147,6.27
2026-09-13,PUMPUSDT,-0.007867,0.003588
2026-09-13,BTWUSDT,0.023602,0.70799
2026-09-13,BZUSDT,0.007867,101.72
2026-09-13,ADAUSDT,-0.007867,0.2084
2026-09-13,SPCXUSDT,0.015735,149.25
2026-09-13,USELESSUSDT,0.039337,0.22271
2026-09-13,ARBUSDT,0.007867,0.13774
2026-09-13,AKEUSDT,0.023602,0.015138
2026-09-13,XAGUSDT,-0.023602,64.47
2026-09-13,KORUUSDT,-0.007867,22.32
2026-09-13,TRUMPUSDT,-0.015735,1.979
2026-09-13,BCHUSDT,-0.015735,224.19
2026-09-13,NVDAUSDT,-0.007867,215.71
2026-09-13,LITUSDT,0.03147,4.2446
2026-09-13,DRAMUSDT,-0.007867,56.71
2026-09-13,DASHUSDT,0.015735,54.39
2026-09-13,QQQUSDT,-0.015735,709.55
2026-09-13,ASTERUSDT,-0.007867,0.697
2026-09-13,SAMSUNGUSDT,-0.007867,190.78
2026-09-13,PROMUSDT,0.023602,5.719
2026-09-13,PAXGUSDT,-0.023602,4341.38
2026-09-13,HEMIUSDT,-0.023602,0.006254
2026-09-13,TSLAUSDT,-0.007867,362.85
2026-09-13,TUTUSDT,-0.03147,0.01937
2026-09-13,ONGUSDT,-0.015735,0.07761
2026-09-13,BTRUSDT,-0.015735,0.0505
2026-09-13,SKRUSDT,0.007867,0.018338
2026-09-13,ZECUSDT,0.03147,1100.33
2026-09-13,SOLUSDT,0.007867,101.39
2026-09-13,龙虾USDT,0.03147,0.144327
2026-09-13,FILUSDT,-0.007867,0.99
2026-09-13,SKHYNIXUSDT,-0.007867,1290.32
2026-09-13,XAUUSDT,-0.023602,4342.92
2026-09-13,SOXLUSDT,-0.015735,117.42
2026-09-13,CLUSDT,0.015735,97.28
2026-09-13,BNBUSDT,0.007867,722.77
2026-09-13,MUUSDT,-0.007867,940.72
2026-09-13,SUIUSDT,-0.023602,0.7201
2026-09-13,NEARUSDT,0.023602,2.344
2026-09-13,1000PEPEUSDT,-0.015735,0.0034205
2026-09-13,UNIUSDT,0.03147,6.272
2026-09-13,PUMPUSDT,-0.007867,0.003592
2026-09-13,BTWUSDT,0.023602,0.70714
2026-09-13,BZUSDT,0.007867,101.69
2026-09-13,ADAUSDT,-0.007867,0.2086
2026-09-13,SPCXUSDT,0.015735,149.25
2026-09-13,USELESSUSDT,0.039337,0.22201
2026-09-13,ARBUSDT,0.007867,0.13795
2026-09-13,AKEUSDT,0.023602,0.015111
2026-09-13,XAGUSDT,-0.023602,64.46
2026-09-13,KORUUSDT,-0.007867,22.34
2026-09-13,TRUMPUSDT,-0.015735,1.982
2026-09-13,BCHUSDT,-0.015735,224.27
2026-09-13,NVDAUSDT,-0.007867,215.76
2026-09-13,LITUSDT,0.03147,4.241
2026-09-13,DRAMUSDT,-0.007867,56.72
2026-09-13,DASHUSDT,0.015735,54.44
2026-09-13,QQQUSDT,-0.015735,709.69
2026-09-13,ASTERUSDT,-0.007867,0.6972
2026-09-13,SAMSUNGUSDT,-0.007867,190.8
2026-09-13,PROMUSDT,0.023602,5.734
2026-09-13,PAXGUSDT,-0.023602,4342.26
